,Brand,Model,Year,Condition,Mileage,Gearbox,Fiscal Power,Fuel,Equipment,Number of Doors,Origin,First Owner,Location,Sector,Price
34337,Renault,R18,1981,Very Good,0 - 4 999,Manual,8 CV,Petrol,"['Rear Camera', 'Leather Seats']",5.0,Customs-cleared car,Yes,Tiznit,Toute la ville,9999999.0
34986,Volkswagen,Golf,1985,Good,50 000 - 54 999,Manual,6 CV,Diesel,"['Rear Camera', 'Rear Camera']",3.0,Customs-cleared car,No,El Jadida,Alaouiyine,625096149.0
56021,Renault,Super 5,1987,Good,10 000 - 14 999,Manual,4 CV,Diesel,"['Electric Windows', 'Alloy Wheels']",5.0,Customs-cleared car,No,Fnideq,Toute la ville,1600000.0
39528,Audi,80,1988,Excellent,25 000 - 29 999,Automatic,8 CV,Petrol,"['Rear Camera', 'Rear Camera']",5.0,Customs-cleared car,No,Zaouïat Cheikh,Toute la ville,3000000.0
69046,Mercedes-Benz,190,1988,Good,Plus de 500 000,Manual,8 CV,Diesel,"['Rear Camera', 'Alloy Wheels']",5.0,WW in Morocco,No,Zaïo,Toute la ville,5000000.0
86260,Mercedes-Benz,250,1990,Excellent,5 000 - 9 999,Manual,8 CV,Diesel,"['Alloy Wheels', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Chichaoua,Toute la ville,4200000.0
70337,Mercedes-Benz,250,1990,Very Good,0 - 4 999,Automatic,10 CV,Diesel,"['ABS', 'ESP']",5.0,WW in Morocco,No,Nador,City Center,618818655.0
56059,Honda,HR-V,1991,Good,Plus de 500 000,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Leather Seats']",5.0,WW in Morocco,No,Jrada,Toute la ville,4200000.0
47880,Volkswagen,GOLF 2,1991,Excellent,25 000 - 29 999,Manual,13 CV,Petrol,"['Leather Seats', 'Electric Windows']",5.0,WW in Morocco,No,Nador,Al aroui,5300000.0
35228,Volkswagen,UP,1992,Excellent,0 - 4 999,Manual,8 CV,Diesel,"['CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Central Locking']",5.0,Customs-cleared car,No,Echemmaia,Toute la ville,3000500.0
