,Brand,Model,Mileage,Equipment,Origin,First Owner,Year,Price
60974,chery,QQ,87500,"['Leather Seats', 'Leather Seats']",Car not yet customs-cleared,Yes,2010,6060000.0
49176,hyundai,Santa Fe,145000,['Air Conditioning'],WW in Morocco,No,2010,11000000.0
60733,bmw,X3,22500,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2010,1400000.0
98263,audi,Q5,195000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Electric Windows']",WW in Morocco,No,2010,1350000.0
7554,toyota,RAV 4,225000,"['Alloy Wheels', 'Electric Windows']",WW in Morocco,No,2010,11500000.0
56295,toyota,Hilux,145000,"['Leather Seats', 'Leather Seats']",WW in Morocco,No,2011,1450000.0
60108,volkswagen,Touareg,225000,"['Leather Seats', 'Rear Camera']",Customs-cleared car,Yes,2011,1300000.0
36572,volkswagen,Amarok,195000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2011,1600000.0
46362,renault,Kangoo,12500,['Air Conditioning'],Customs-cleared car,Yes,2011,1111111111.0
30663,opel,Astra,225000,"['Electric Windows', 'Electric Windows']",WW in Morocco,Yes,2011,10000000.0
37186,kia,Sorento,155000,['Air Conditioning'],Customs-cleared car,No,2011,1110000.0
37277,citroen,Berlingo,22500,"['Electric Windows', 'CD/MP3/Bluetooth']",WW in Morocco,No,2011,9000000.0
67075,volkswagen,Caddy,7500,"['Rear Camera', 'Alloy Wheels']",WW in Morocco,No,2011,10500000.0
51180,volkswagen,UP,17500,"['Air Conditioning', 'Cruise Control', 'Navigation System/GPS']",WW in Morocco,Yes,2012,1200000.0
27608,volkswagen,Polo,17500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Onboard Computer', 'Navigation System/GPS']",Customs-cleared car,No,2012,1200000.0
43515,peugeot,206+,2500,"['Leather Seats', 'CD/MP3/Bluetooth']",Customs-cleared car,No,2012,5005000.0
43481,citroen,Berlingo,195000,"['Leather Seats', 'CD/MP3/Bluetooth']",WW in Morocco,No,2012,9500000.0
